name,description,address
Calvins Cafe,Calvin's Cafe North Vancouver location,3720 Mt.Seymour Parkway North Vancouver B.C.
Haultain Fish 'n' Chips,Quaint neighbourhood cafe brings you homestyle traditional meals.,1127 Haultain Street Victoria BC
Olive Cafe,The Olive has amazing sandwiches prepared fresh in front of your eyes with a Mediterranean flair. Further more the Olive is the place to fulfill your Gelato cravings.,4326 Main St Vancouver BC
Higashi West,Creativity at its best perfection in every way.,143 Chadwick Court North Vancouver BC
The Acorn Restaurant,The Acorn is a new restaurant on Main Street that provides Vegan Raw and Gluten Free cuisine.,3995 Main Stree Vancouver BC
Campagnolo Restaurant,From the creators of the Expect a high level of food and service at Campagnolo.,1020 Main Street Vancouver BC
Del-Hi Darbar Indian Cuisine (CLOSED),For discerning Indian food fans and newcomers alike.,2120 Main St. Vancouver BC
Aurora Bistro (Closed),Aurora Bistro is located on Main Street in Vancouver. Known for its contemporary Pacific west coast cuisine with a focus on organic and Ocean Wise ingredients.,2420 Main Street Vancouver BC
Bearfoot Bistro,Highly regarded Whistler restaurant.,4121 Village Green Whistler BC
The Mountain Club Restaurant and Lounge,The Mountain Club promotes high end cocktails and local cuisine in a trendy setting.,40 - 4314 Main Street RR4 Whistler BC
Whistler Wood Fired Pizza Company,Delicious Wood Fired Pizza,Trout Lake in Vancouver and Whistler Farmers Market Whistler Whistler British Columbia
Cinnamon Bear Grille - Hilton Whistler Resort and Spa,The Cinnamon Bear promotes tasty Northwest cuisine in an inviting environment.,4050 Whistler Way Whistler BC
Apres Restaurant & Wine Bar (CLOSED),Intimate dining in Whistler Village in a boutique restaurant with modern flair.,103 - 4338 Main St. Whistler BC
Players Chophouse (Whistler) CLOSED,A new restaurant from Points West the Players Chophouse Whistler will be sure to be a popular destination.,#210-2075 Lake Placid Road Whistler BC
Hy's Steakhouse Whistler,Grade-A steaks with an award-winning wine list.,4308 Main Street Whistler BC
Crepe Montagne,Enjoy exquisite french cuisine in a bistro style atmosphere.,116-4368 Main Street Whistler BC
Fable Kitchen,Fable is the new farm to table restaurant that has occupied the old Refuel space on West 4th.,1944 West 4th Ave Vanouver BC
Bishop's,Created by John Bishop this restaurant focuses on serving the finest West Coast cuisine.,2183 West 4th Ave Vancouver BC
White Spot (Surrey),This White Spot is located in the Central City part of Surrey.,13580 102nd Ave Surrey BC
White Spot (Morgan Crossing),Morgan Crossing in Surrey is where this White Spot is located.,15877 Croydon Drive Surrey BC
Rosie's Country Cafe,Stop by for the Breakfast - All Day Rosie's Famous 3 Egg Omelets Delicious Beef Burgers Yummy Chicken Burgers Hot & Cold Sandwiches Wraps Soup Salads & Side Orders Take-out Available,3033 King George Hwy. Surrey BC
Tokachi,For a top quality Japanese dining experience come to Tokachi today.,10767 King George Hwy Whalley Surrey BC
Original Bombay Palki,100 % pure vegeterian restaurant,unit 102 8318 120 street Surrey BC
Garry T's Pub and Restaurant,Garry T's serves some of the best pub food in Surrey.,12025 72 Avenue Surrey BC
Firefly Fine Wines and Ales,Located beside Figmint Restaurant Firefly will assist you in choosing the right ale or wine for any occasion.,2857 Cambie Street Vancouver BC
Best Thai Restaurant (CLOSED),Try one of our large combos.,2549 Cambie Street Vancouver BC
Restaurant Connor Butler (CLOSED),Restaurant Connor Butler an honest and humble marriage of old world charm and west coast character. Join us for an evening of gastronomic composition.,2145 Granville Street (@6th) Vancouver BC
Mr. Pickwick's Fish + Chips (Granville),14 different styles of fish and chips from around the world.,8620 Granville St Vancouver BC
Fray on Fraser (CLOSED),Healthy locally-sourced food just four blocks from Main Street,3980 Fraser St Vancouver BC
Trixi's Crepe and Coffeehaus,Trixi's provides the best in casual dining at an affordable price.,3306 Cambie Street Vancouver BC
Heidi's Cafe,The Place To Be On Fraser Street,5945 Fraser Street Vancouver BC
Dona Cata Mexican Foods,Try our original family recipes that are over 40 years old.,5076 Victoria Drive Vancouver BC
Altitudes Bistro,Boasting what is arguably the best patio vantage point in all of Canada Altitudes Bistro is the ideal spot to revitalize after a day of alpine fresh air.,6400 Nancy Greene Way North Vancouver British Columbia
Bella Pizza (Hemlock),Pizza chain with various lower mainland locations.,2525 Hemlock Vancouver BC
Toyo Sushi,Offering casual dining in classic Japanese and select Korean cuisines overlooking beautiful views of False Creek and the Downtown skyline.,2211 Cambie Street Vancouver BC
Original Joe's,Cambie street location for this western Canadian chain.,2525 Cambie Street Vancouver BC
Ocean 6 Seventeen (CLOSED),Stop by for brunch in beautiful False Creek.,617 Stamps Landing Vancouver BC
Tap and Barrel,Tap and Barrel is located in the False Creek area.,1 Athletes Way Vancouver BC
Wendy's (Cambie and Broadway),With the drive thru open late a frosty or double burger always hits the spot.,480-West 8th Ave Vancouver BC
Italy Restaurant and Deli,Close to City Hall which is ideal for lunch.,2559 Cambie St Vancouver BC
Earls Restaurant,Great for a date or any other time.,1601 West Broadway Vancouver BC
Rugby Beach Club Grille (CLOSED),A la carte A la smarte!,201- 950 W. Broadway Vancouver BC
Hot Cuisine Take Home Food Shop,Healthy global comfort food to take home either hot or cold.,2083 Alma St. Vancouver BC
Baru Restaurante,Nice restaurant with a South American flair located on the West Side of Vancouver.,2535 Alma Street Vancouver BC
Pair Bistro,Pair Bistro is about Organic and BC cuisine combined with an excellent wine list.,3763 West 10th Avenue Vancouver BC
Some Kinda Pasta,A nice comfortable place for a good pasta meal.,4409 West 10th Avenue Vancouver BC
Osaka Sushi,Try the Sushi combo. Located close to UBC main campus.,6-5728 University Boulevard B Vancouver BC
Nando's Flame-Grilled Chicken (Kamloops),Located in Kamloops this Nando's will lead your taste buds on a journey from Africa to Portugal.,1180 Columbia Street (The Summit Shopping Centre) Kamloops BC
Wild Rice Restaurant (CLOSED),Innovative East meets West fusion.,117 W. Pender St. Vancouver BC
Everything Cafe (CLOSED),Everything Cafe is the newest addition to Sean Heather's already successful group of restaurants.,75 East Pender Street Vancouver BC
Fat Dragon Bar-B-Q (CLOSED),Fat Dragon was a new restaurant by Chef Robert Belcham. A mix of Asian and southern BBQ.,566 Powell Street Vancouver BC
Radha Yoga & Eatery (CLOSED),Innovative Organic Vegan Cuisine - where global meets local.,728 Main street Vancouver BC
The Keefer Bar,The Keefer Bar has been receiving rave reviews for their cocktails and tasty cuisine.,135 Keefer Street Vancouver BC
Bao Bei Chinese Brasserie,Bao Bei is the new hot spot in the Vancouver dining scene.,163 Keefer St Vancouver Bc
The Gillnetter Pub,Friendly popular neighborhood pub offers excellent food too.,1864 Argue St. Port Coquitlam BC
Taco Del Mar - Oxford Market,Fast Fresh and Fun is the Taco Del Mar way.,113 2020 Oxford Connector Port Coquitlam BC
Ravens on the Beach,Great water front view combined with the famous crab pot.,160 Esplanade Ave Harrison Hot Springs BC
Jethro's Fine Grub,The best place for breakfast on the West Side of Vancouver.,3420 Dunbar Street Vancouver BC
Salade de Fruits,Salade de Fruits - Vancouver's not so well-kept secret for French food.,1551 West 7th Avenue Vancouver BC
Ridge Garden Chinese Restaurant,A family favorite. Great banquet menu.,3113 Arbutus Street Vancouver BC
Clubhouse Japanese Restaurant,Sports beer and Japanese comfort food in the False Creek area.,255 West 2nd Ave Vancouver BC
Lickerish,Lickerish's patio is perfect for people watching.,903 Davie Street Vancouver BC
Grove Inn,Grove Inn is a Denman Street restaurant known for cheap eats.,1047 Denman St Vancouver BC
The Beaver and Mullet,Canadian comfort food located near English Bay and the entrance to Stanely Park,#102 - 1184 Denman st Vancouver British Columbia
The Jolly Coachman Pub & Liquor Store,Great english tutor style pub well known for its great food and its atmosphere.,19167 Ford Road Pitt Meadows BC
Vera's Burger Shack (Pitt Meadows),The Vera's in Pitt Meadows is located in the Meadowtown Shopping Centre.,19800 Lougheed Hwy Pitt Meadows BC
Daimo Noodle Express,If you need noodles in a hurry try the Noodle Express.,8185 Granville Street Vancouver BC
Taiwan Beef Noodle House,Open 24 hours for your noodle cravings.,8390 Granville Street Vancouver BC
Bean Around the World Coffee House,Nice place for a coffee in Marpole.,8099 Granville Street Vancouver BC
Dairy Queen (Marpole),Nice place for a soft cone or a blizzard.,8167 Granville Street Vancouver BC
Yan Sushi,Try one of their combination combos.,8051 Granville Street Vancouver BC
Marpole Grill,Nice grill restaurant located in the heart of Marpole,8363 Granville Street Vancouver BC
Pizza Hut (Marpole),Try one of the special deals on pizzas.,8155 Granville Street Vancouver BC
La Casa Gelato Ice Cream,An ice-cream lover's paradise with 208 flavors on location.,1033 Venables Street Vancouver BC
Kalvin's Restaurant,Authentic Taiwanese cuisine in this small popular restaurant.,5225 Victoria Drive Vancouver BC
Bistro Pastis,Fine French food with a West Coast touch.,2153 W. 4th ave. Vancouver BC
Bacchus Restaurant and Lounge,Bacchus ia an award winning Vancouver restaurant  as recognized by Vancouver Magazine.,845 Hornby Street Vancouver BC
Mistral Bistro,Provencal cuisine located on West Broadway.,2885 West Broadway Vancouver BC
Lumiere (CLOSED),Chef Daniel Boulud has now opened one of Vancouver's best contemporary French restaurants.,2551 West Broadway Vancouver BC
Sammy J Peppers (CLOSED),Sammy J Peppers is a great place to watch a game and have enjoy their cuisine.,5580 No. 3 Road Richmond BC
Infinity Dining Experience (CLOSED),Cozy neighborhood restaurant offers the best steaks in the city.,819 Pacific Street Vancouver BC
Samba Brazilian Steakhouse (CLOSED),Known for the all you can eat meat and salad bar buffet.,1122 Alberni Street Vancouver BC
The Corporate Yacht,Chic meetings and events on the water!,1601 Bayshore Drive Vancouver BC
Prestons,Tucked away in Vancouver's financial district - a relaxed unpretentious dining experience.,1177 West Pender Vancouver BC
The Wine Yacht,Chic Tastings and Pairings on the Water,#10-1601 Bayshore Drive Vancouver BC
Narrow Lounge,Look for the Red Light.,1898 Main Street Vancouver BC
Chill on the Beachfront (Closed),Casual fine dining with a sophisticated edge.,1362 Marine Drive West Vancouver BC
Tacofino Commissary,Bocadillo-style menu and our legendary tacos,2327 East Hastings St Vancouver BC
The Mongolie Grill,A different concept in dining where you choose and they cook it in front of you.,467 West Broadway Vancouver BC
Great Wall Mongolian B.B.Q,All you can eat located near the end of Denman st.,717 Denman St Vancouver BC
Keywest Kissaten Restaurant,Small Asian eatery located in Kerrisdale.,5633 West Blvd Vancouver BC
City Central Palace Restaurant,Food is addictive price is affordable place is cool your friendly neighborhood restaurant.,13525 108 Avenue Surrey bc
Paul's Restaurant,Family owned Chinese Canadian Restaurant home of great eats for cheap. The food and prices are perfect for families students and YOU.,4621 Hastings St Burnaby BC
New York Fries (Oakridge),Drop by for fries New York style. Located in Oakridge Mall.,650 W 41ST Ave Vancouver BC
Quiznos Subs (Oakridge),Drop by for a toasted sub sandwich. Located in Oakridge Mall.,650 W 41ST Ave Vancouver BC
A&W (Oakridge),Drop by for a Teen Burger and a root beer. Located in Oakridge Mall.,650 W 41ST Ave Vancouver BC
Teriyaki Experience (Oakridge),Drop by for Japanese cuisine. Located in Oakridge Mall.,650 W 41ST Ave Vancouver BC
Arbys (Oakridge),Drop by for a tasty roast beef sandwich.,650 W 41ST Ave Vancouver BC
Tango 8 Grill (CLOSED),Tango 8 Grill is known for its Argentinian cuisine. Location is on West Broadway Street.,955 West Broadway Vancouver BC
Meat and Bread,Meat and Bread are receiving great reviews on their sandwiches. Drop by and tell us what you think.,370 Cambie Street Vancouver BC
Bismarck,Bismarck is a new restaurant in the Cross town area.,526 Abbott Street Vancouver BC
Smart Mouth Cafe,Great atmosphere fantastic fresh food and the best Coffee in Gastown.,117-131 Water Street Vancouver
Le BonBon Cafe,Le BonBon says drop in to try their awesone cheesecake.,170-3031 Beckman Place Richmond BC
Quince,Visit Quince for their take out catering or cooking classes.,1780 W.3rd Ave Vancouver BC
Goodah Grill,Great spot to stop for a quick lunch in the mall.,1544-6551 No 3 Road Richmond BC
Rekados Grill (CLOSED),Fine Filipino cuisine in a modern dining setting.,4063 Main St. Vancouver BC
Josephine's Restaurant & Catering,Homestyle Filipino cooking with a large buffet and full catering service.,2650 Main St. Vancouver British Columbia
Purple Crab,A combination of seafood and live entertainment makes for an eclectic and enjoyable experience.,3916 Main St. Vancouver British Columbia
Starry Night Restaurant,Starry Night Restaurant the newest and most fashionable restaurant in Richmond.,9231 Beckwith Road Richmond BC
Kalamata Greek Taverna,Stop by their new location at 1481 W. Broadway at Granville.,1481 W. Broadway Vancouver BC
Mona's Fine Lebanese Cuisine,Fine traditional Lebanese food with belly dancing on Fridays and Saturdays.,1328 Hornby Street Vancouver BC
Nirvana,Located on Main St Nirvana is the place for Indian cuisine.,2313 Main St. Vancouver British Columbia
Tandoori Raj Restaurant,Just really good Indian food,689 East 65th Ave Vancouver BC
Zeitoon Restaurant,Kabob is King at Zeitoon,1615 Lonsdale Ave North Vancouver BC
Marine Pub & Brewhouse,Modern feeling with lots of natural light from the skylights.,5820 Marine Dr Burnaby BC
Senhor Rooster Portuguese Restaurant,The best kept secret in Vancouver for authentic Portuguese cuisine in a warm and inviting atmosphere.,850 Renfrew St Vancouver BC
Luna Loca Mexican Cantina,Aa authentic mexican experience without the airfare or accomodations,106 15153 ave Surrey BC
La Casita Gastown,New Mexican restaurant in the Gastown area of Vancouver.,101 West Cordova street Vancouver British Columbia
Globe@YVR,Globe@YVR is The Fairmont Vancouver Airport Hotel's award-winning signature restaurant featuring Pacific Northwestern cuisine.,3111 Grant McConachie Way Richmond BC
Pearl Hot Pot,Japanese Shabu-Shabu Hot Pot! Unique Dining Experience,7154 Sperling Ave. Burnaby BC
Daniels Restaurant,Daniel’s Restaurant was voted: 1st Place - Awarded Golden Plates 2012,2786 Barnet Hwy Coquitlam BC
Neptune Bistro,Neptune Bistro says that are a friendly neighborhood Bistro style cafe that has the best latte and some of the best sandwiches in Richmond.,100-11331 Coppersmith way Richmond BC
The Windjammer Inn (CLOSED),Great spot for the fish & chips lover. Plus there is a big patio to enjoy your meal on.,3079 Main St. Vancouver BC
The Daily Catch,100% Oceanwise Seafood located on Commercial Drive.,1418 Commercial Drive Vancouver B.C.
Merchant's Oyster Bar,Merchant's Oyster bar takes over the Divino Wine Bar spot.,1590 Commercial Dr. Vancouver BC
Exotico Brasil Cafe (CLOSED),Unpretentious family style authentic Brazilian cooking.,1776 Charles St. Vancouver BC
The Lobby Lounge,The Lobby Lounge is a perfect meeting place from morning to midnight.,1038 Canada Place Vancouver BC
Jakes Steakhouse,Located in the Days Hotel. Jakes Steakhouse is known for their steaks.,9850 King George Highway Surrey BC
The Crab Shack Grill & Oyster House,The Crab Shack is a new restaurant that has opened on West Broadway Street,3132 West Broadway Vancouver BC
The Shore Club Restaurant (CLOSED),New high edition to the downtown Vancouver dining scene.,688 Dunsmuir St Vancouver BC
Bella Roma Pizzeria & Ristorante,Outstanding traditional Italian dishes. Unforgettable brick-oven pizza.,4460 10th Avenue West Vancouver BC
On The Edge Gastropub,The newest addition to the Gastown lineup with a trendy vibe live music 3 nights per week and a diverse draft beer selection.,303 Columbia Street Vancouver BC
Guilt and Company,Guilt & Co is an unique concept in music and food located in Gastown.,1 Alexander St Vancouver BC
Urban Peppers Restaurant and Bar,Urban Peppers says that they are a sleek and urban atmosphere with authentic south Indian cuisine daily drink specials.,7677 6th Street Burnaby BC
Jambo Grill,Made to order with only the finest ingredients. Halal Certified,3219 Kingsway Vancouver BC
Sammy J Peppers (Granville Island) (CLOSED),Sammy J is the place to watch sports on Granville Island.,1517 Anderson St Vancouver BC
Dip 23 Dining Lounge,Dip 23 Lounge is the perfect place for good food and chill out with friends.,200 - 4200 No.3 Road Richmond BC
La Vallee Restaurant,Located in the Executive Hotel La Vallee is a wine lovers paradise. A perfect blend of fine wines and wine country cuisine.,1379 Howe Street Vancouver BC
Cento Notti (CLOSED),One Hundred Days to One Hundred Nights the much anticipated new Italian restaurant is Cento Notti.,350 Davie Street Vancouver BC
V Restaurant and Cafe bar,Cosy new Serbian restaurant with great atmosphere and amazing food.,1049 Granville St. Vancouver BC
Fets Bar & Grill,Fets says they were established in 1986 and has Vancouver's largest whisky selection.,1230 Commercial Drive Vancouver B.C.
Yagger's Downtown,Yagger's exudes a friendly vibe in a laid back bar serving fun food and serious drinks.,433 W Pender Vancouver BC
Rime (Closed),Great place for eclectic live music and good eats.,1130 Commercial Drive Vancouver BC
Wired Bean Coffee,Relaxing warm atmosphere & decor gourmet grilled sandwiches best muffins.,200 West Esplanade Suite 102 North Vancouver BC
Slickity Jim's Chat N Chew,Located on Main Street Slickety Jim's will satisfy your breakfast lunch and dinner needs.,3475 Main Street Vancouver B.C.
LanaLou's,Exciting Food served with an unpretentious attitude!,362 Powell Street Vancouver BC
Maxine's Hideaway (CLOSED),Drop by this upscale historic restaurant and show lounge.,1215 Bidwell Street Vancouver BC
Savory Coast Cucina Mediterranea (CLOSED),This wonderful 'cucina mediterranea' offers a west coast take on classic Italian dishes.,1133 Robson St. Vancouver BC
Salle de thé TEA ROOM @ 113,Perfect place to enjoy a night with the best cheesecakes in town.,@113-8571 Alexandra Road Richmond BC
Zen Japanese Restaurant,Voted as one of the Top Restaurants on the North Shore at the 2011 Vancouver Magazine Awards.,#101 2232 Marine Drive West Vancouver BC
Shark Club (Vancouver),Great place to party after the game.,180 West Georgia St Vancouver BC
Take Sushi Japanese Restaurant,Brand new Japanese Sushi restaurant offering a variety of specialty dishes that will certainly open your eyes and satisfy your stomach.,4528 Hastings Street Burnaby BC
Earls Paramount,Earls is one the best chain restaurants in B.C.,905 Hornby Street Vancouver BC
Red Card Sports Bar + Eatery,Watch your favourite sports in style with Red Card Sports Bar + Eatery,900 Seymour Street Vancouver BC
White Spot (Squamish),This White Spot is located in the small town of Squamish.,410 12000 Hunter Place Squamish BC
Greens and Gourmet,Vancouver's oldest and best vegetarian buffet style restaurant.,2582 W Broadway Vancouver BC
Irashai Grill,Innovative Japanese cuisine and sushi in the heart of Coal Harbour.,1368 West Pender Street Vancouver BC
Mongo's Stir Fry Grill,A perfectly affordable lunch for health conscience tasty food-loving people.,2897 West Broadway Vancouver
Bistro Sakana,A nice Japanese tapas restaurant with an excellent sake and wine menu and great outdoor dining area,1123 Mainland Street Vancouver BC
Clove Restaurant (Denman),Drop by to think Globally and source Locally.,735 Denman Street Vancouver BC
Cavo Bar and Kitchen,Located in the Granville Entertainment district,911 Granville Street Vancouver BC
Think!,Coffee Lounge and Bistro which serves sandwiches..,4512 W.10th ave. Vancouver BC
Coffee Coast - The Virtual Coffee Bean (CLOSED),Great coffee fax email and Internet cafe.,101-1595 West Broadway Vancouver BC
Pescatore's,Pescatore's Seafood & Grill consistently voted one of Victoria's best seafood restaurants.,614 Humboldt Street Victoria BC
Vera's Burger Shack (Kitsilano),Stop in for a tasty Vera's burger before heading to the beach.,1935 Cornwall Avenue Vancouver BC
Taco Shack,Ex BC Lion Daved Benefield's new place.,1925 Cornwall Ave Vancouver BC
Social Restaurant & Lounge (CLOSED),“Our focus is to give our guests exactly what they expect when they visit us…a gorgeous venue great food fabulous service with terrific value!!,200 - 332 Water Street Vancouver BC
Vegan Pizza House,Serving delicious and affordable Vegan pizza that everyone can enjoy made with fresh ingredients.,2119 Kingsway Vancouver BC
Roman Ristorante,Intimate Italian restaurant offers great food at better prices.,3399 Kingsway #106 Vancouver British Columbia
Fish,An expansion of our great restaurant in Kerrisdale.,2278 West 4th Avenue Vancouver BC
The Tipper Restaurant,A cozy unassuming restaurant and bistro serving breakfast lunch and dinner.,2066 Kingsway Vancouver BC
Au Wing Kee Restaurant,A local favourite wonton/noodle house among locals stop in for other Chinese cuisine favourties,2568 Kingsway Vancouver BC
Sen-Ryo Japanese Restaurant,,1345 Kingsway Vancouver BC
Poor Italian Trattoria Ristorante,Global TV anchor Tony Parson's new restaurant in the Renfrew area.,3296 East 1st Avenue Vancouver BC
Chill Winston,Cool place to hang out in Gastown.,3 Alexander Street Vancouver BC
Cactus Club (Granville and Broadway),Great food at all of their locations.,1530 West Broadway Vancouver BC
Cultures (Metrotown),Hungry from shopping? Then Cultures is the place for you.,4820 Kingsway Burnaby BC
Galini Greek Kouzina and Grill,Greater Vancouver's trendiest Greek Restaurant.,101-19475 Fraser Hwy Surrey BC
Bisla Sweets Restaurant & Meat Shop,Come to Squamish for Samosa`s and Tikki`s that are now 75 cents each,38132 2nd Avenue Squamish BC
The Boardwalk Restaurant in Lund,The Boardwalk is run by the great people who used to run the Mr Pickwicks locations in Vancouver.,9673 Longacre Road Lund BC
Double One Chinese Restaurant,Excellent at accomodating special requests.,4057 Hastings St. Burnaby BC
Garlic and Chilli Restaurant,Tiny hole-in-the-wall offers generous portions at rock-bottom prices.,7 - 5901 Broadway Burnaby BC
U - Bento Japanese Restaurant (CLOSED),Cozy Japanese restaurant with full service menu specializing in big bento boxes!,2568 Arbutus Street (CLOSED) Vancouver BC
Asa Sushi Japanese Restaurant,Kerrisdale sushi restaurant is great for people watching.,2178 West 41st Avenue Vancouver BC
MARKET by Jean-Georges,Located in the new Shangri-la hotel this new creation by Jean George will meet your expectations.,1128 West Georgia Street Vancouver BC
Kitanoya Guu,Fun and authentic Japanese tapas Izakaya.,838 Thurlow St. Vancouver BC
Shiru-Bay Chopstick Cafe (CLOSED),Stylish urban Japanese restaurant in the heart of Yaletown.,1193 Hamilton Street Vancouver BC
Gyoza King,Old school Japanese kitchen food in the heart of tourist prone Robson Street.,1508 Robson St Vancouver BC
Hapa Izakaya (Robson),Trendy contemporary Asian restaurant bustles with energy and romance.,1479 Robson Street Vancouver BC
The Observatory,The Observatory is located atop of Grouse Mountain where you can experience award-winning cuisine high above the city.,6400 Nancy Greene Way North Vancouver British Columbia
Cafe Il Nido,Tucked away off Robson this restaurant offers 'inventive' non-traditional fine Italian dining.,780 Thurlow St. Vancouver British Columbia
Le Crocodile French Restaurant,For over 20 years Le Crocodile has been serving Vancouverites outstanding French cuisine.,100-909 Burrard St. Vancouver BC
Boteco Brasil,The newest authentic Brazilian Restaurant in Vancouver!,2545 Nanaimo St Vancouver BC
Urban Gate Bar & Grill,Experience delicious Persian kebabs and Western fare with a downtown feel.,1158 A The High Street Coquitlam BC
Cray Kitchen + Bar,Cray Kitchen + Bar is a new Cajun themed restaurant on Main street.,2470 Main Street Vancouver BC
The Union Bar,Serving South East Asian cuisine. The Union Bar is located across from the Georgia Viaduct.,219 Union Street Vancouver BC
Cafe Ceylon,Sri Lankan and Pan Asian cuisine prepared by award winning chef Tamara Bailey.,104 - 1175 Cook St. Victoria BC
Papaya Bistro (CLOSED),Papaya Bistro combines the casual elegance of a West Coast Cuisine with the artistic spirit and sophisticated fare of the finest Southeast Asian restaurant.,15057 Marine dr. White Rock BC
Afghan Horsemen Restaurant,Authentic Afghan food served in a relaxing private environment.,202-1833 Anderson Street Vancouver BC
Robsons All India Restaurant,Authentic Indian taste with their own made spices and sauces,1256 Robson St Vancouver BC
Rasputin Restaurant (CLOSED),Drop by for Russian dining at its finest located on West Broadway.,457 West Broadway Vancouver BC
Carver's Steakhouse,Carvers says they are – A Downtown Steakhouse in the Heart of Richmond,7311 Westminster Highway Richmond BC
Highlander Restaurant,Located in Richmond the Highlander is an eclectic and comfortable that has something to offer all tastes.,9260 Bridgeport Road Richmond BC
Stormin' Norman's Spirit Grill (CLOSED),Stormin Norman says they have the best burgers in Vancouver.,1438 Commercial Dr. Vancouver BC
Tivoli's Restaurant at the Executive Inn,Tranquil restaurant in Burnaby four star hotel features nightly Prixe-Fixe Menu and Prime Rib special on Fridays.,4201 Lougheed Hwy. Burnaby BC
Caffe de Medici (CLOSED),Exquisite Italian fine dining at this restaurant off Robson.,109-1025 Robson St. Vancouver BC
Khai Thai Cuisine,Khai Thai cuisine is located in the centre of downtown Vancouver. Khai Thai are looking forward to showing you what Thai cuisine means to them.,809 Seymour st Vancouver BC
Capers Community Market (West Vancouver) (CLOSED),One of the healthiest places to shop.,2496 Marine Drive West Vancouver BC
Rocky Mountain Flatbread,Great pizza that catered to my special diet.,1876 W 1st Ave Vancouver BC
Capers Market (Robson St),Capers is known for its organic food and other healthy options.,1675 Robson St Vancouver BC
My Sushi World Bento Express,A great choice for good takeout sushi on Robson street.,1258 Robson St. Vancouver BC
The Chef and Carpenter (CLOSED),Nice french restaurant located near the end of Robson St.,1745 Robson St Vancouver BC
Triple O's (Robson St),The best place for hamburgers with locations throughout B.C.,805 Thurlow St. Vancouver BC
Tropika,Excellent upscale restaurant serving both Thai & Malaysian cuisine.,1128 Robson St. Vancouver British Columbia
Cafe Orca,Close to GM Place and Queen Elizabeth Theater.,101 Robson Street Vancouver BC
Book Kyung Ban Jeoun Korean Restaurant,Drop by for dinner before you tour the city.,1638 Robson St Vancouver BC
Delicado's,Serving up a delicious variety of flavourful colourful and healthy southwestern fare.,110-510 W Hastings St Vancouver BC
Kilala Sushi Bar,Small Japanese sushi bar offers delightfully good quality for eat-in or take-out.,4749 East Hastings Street Burnaby BC
Kishu Japanese House,Sushi on Seymour St.,538 Seymour St. Vancouver BC
Bronco Belle Texas BBQ Foods,BBQ in the Harbour Centre Food Court.,555 West Hastings Street Vancouver BC
Bellagio Cafe,A Tuscan-style cafe with a wonderful outdoor patio right next to the Vancouver Art Gallery.,773 Hornby St. Vancouver British Columbia
Sun Sui Wah Seafood Restaurant,A large capacity elegant restaurant with internationally acclaimed Dim Sum and seafood dishes.,3888 Main St. Vancouver British Columbia
Edible Canada Bistro,The newest restaurant at Granville Island. Created by Eric Pateman this bistro will showcase everything that is great about British Columbia's cuisine.,1596 Johnston Street Vancouver BC
Senova Restaurant,Traditional Portuguese and Mediterrean cuisine located in the West Side of Vancouver.,1864 West 57th Avenue Vancouver BC
Nando's Flame-Grilled Chicken (Kitsilano),Located in Kitsilano this Nando's will lead your taste buds on a journey from Africa to Portugal.,1955 Cornwall Avenue Vancouver BC
Sash Savor & Soul House,A great looking new lounge-style restaurant offering a great selection of 'soul' food and a nightly DJ.,1447 Commercial Dr. Vancouver British Columbia
Sash Global Soul,Recently held party for Vancouver premiere of Just Shut Up and Shoot.,1447 Commercial Dr Vancouver BC
White Spot (Kerrisdale),The Pirate Pack lives again.,5367 West Boulevard Vancouver BC
Art's Family Restaurant (CLOSED),Casual comfortable friendly and affordable family restaurant.,2407 West 41st Avenue Vancouver B.C.
Legato Tea & Coffee,Sandwiches Ice Cappuccino (smoothies) Bagels Hot Dogs Cinnamon Buns Coffee & Tea and other cold drinks.,2299 West 41st Avenue Vancouver BC
Orange Corner Crepes House,Crepes smoothies bubble tea.,2257 West 41st Ave Vancouver BC
Crepe & cafe,Experience a taste of France in Kerrisdal,3500 West 41 Avenue Vancouver BC
La Buca Restaurant,From the owners of Pied a Terre and L'Altro Buca a new place on the West Side.,4025 MacDonald St Vancouver BC
Irashai Sushi,Friendly local Japanese restaurant.,2260 West 41st Avenue. Vancouver BC
Secret Garden Tea Company,Perfect for afternoon tea.,5559 West Boulevard Vancouver BC
Cafe Mexico,Cafe Mexico offers an extenisve menu of Mexican classics drink specials and desserts.,1425 Store Street Victoria BC
Boston Pizza,Bring your family or team in for one of our great pizzas or pasta dishes.,10-787 Hillside Avenue Victoria BC
Forum Chinese Seafood Restaurant,Family owned restaurant specializes is full-flavoured hot spicy dishes.,612 Fisgard Street Victoria BC
John's Place,Casual dining you can enjoy with friends and family.,723 Pandora Avenue Victoria BC
Romano's Macaroni Grill,Share platters of your favourite Italian dishes with friends and family.,3195 Douglas Street Victoria BC
Moxie's,Classic grill food you can enjoy with friends & family.,1-1010 Yates Street Victoria BC
Spaghetti Factory,Gather round the table with friends and family to enjoy a classic Italian meal.,703 Douglas Street Victoria BC
Paprika Bistro,Classic bistro dishes that have been passed down for three generations - come enjoy.,2524 Estevan Avenue Victoria BC
Lotus Pond,All natural 100% Vegan dishes for you to enjoy.,617 Johnson Street Victoria BC
The Temple,Both the ambience and the meals are classic yet hip.,525 Fort Street Victoria BC
The Pacific Restaurant,Pacific Northwest cuisine in Downtown Victoria.,463 Belleville Street Victoria BC
